industry,title,video_id,description
ADM,"AWS re:Invent 2024 - Privacy-enhanced advertising with Xmars, DIRECTV, and Amazon Ads (ADM304)",PVkCOi6jNF0,"Discover how Xmars and DIRECTV use Amazon Marketing Cloud (AMC) and Amazon Publisher Cloud—built on AWS Clean Rooms—to plan, activate, and measure advertising campaigns through Amazon DSP. Learn how Amazon Ads is bringing advertisers and publishers together through privacy-enhanced data collaboration to drive the next generation of impactful campaigns that reach desired audiences more effectively. Get access to reference architectures, and discover how to use AWS Clean Rooms ML for audience modeling."
ADM,AWS re:Invent 2024 - Unified customer profiles and connected journeys with United Airlines (ADM201),5RdWingXkS4,"United Airlines uses AWS Entity Resolution and AWS Clean Rooms to unify customer data from multiple touchpoints to gain a comprehensive, 360-degree view of its customers. This helps United deliver personalized experiences, optimize inventory utilization, and drive business growth while maintaining strict data governance and security controls. Join this session to learn how United moved its on-premises workloads to AWS to create a holistic view of its customer data, unlocking the power of a highly distributed dataset to generate business insights using a modern data architecture to create a strong, connected media strategy."
ADM,AWS re:Invent 2024 - Grab innovates with generative AI and secure data collaboration  (ADM203),vRRQkFuKrz8,"Grab, a leading super app in Southeast Asia, launched Grab Ads in 2018. In this session, learn how Grab uses AWS Clean Rooms to power its advertising business via secure data collaboration with partners to enrich its understanding of customers and deliver more relevant experiences. Discover how Grab uses generative AI services on AWS to empower its business functions across marketing and advertising. Hear from Grab about its migration to AWS and best practices for innovating with advertising workloads."
ADM,AWS re:Invent 2024 - Streamline ad monetization with Prebid Server Deployment on AWS (ADM302),oshiVGh1Ty0,"As businesses strive to monetize digital content across platforms, they leverage third-party ad platforms for real-time ad auctions. With Prebid Server Deployment on AWS, customers can connect with over 180 advertising platforms using Prebid.org's open source standard. This lightning talk explores the benefits of owning ad monetization with Prebid Server and the AWS one-click-deploy solution designed for low-latency, high-volume ad workloads. Learn how to deploy and operate the solution within your AWS environment and gain strategies to maximize revenue once your ad monetization system is running."
ADM,AWS re:Invent 2024 - Generative AI in advertising and marketing with Blueshift and VidMob (ADM202),H4KoNIa99w0,"AWS generative AI helps marketers and advertisers across companies accelerate creative development and automate, personalize, and optimize campaigns. Join this session to hear about the latest generative AI advertising and marketing use cases. Learn how Blueshift improves personalization and maximizes content value through recommendations powered by LLM embeddings. Also learn how VidMob experiments with and fine-tunes generative AI models to generate creative insights to optimize return on ad spend (ROAS)."
AES,"AWS re:Invent 2024 - Scepter, Inc. uses big data to reduce methane emissions (AES301)",6gHD3kB0780,"Trace gases including methane and carbon dioxide contribute to climate change and impact the health of millions of people across the globe. Discover how Scepter, Inc. aggregates vast datasets, pinpoints emissions, and helps customers like ExxonMobil monitor and mitigate methane releases. Learn how the ScepterAir data fusion platform uses advanced AWS Cloud services to analyze and extract insights from ground-based, airborne, and in-orbit data sources with low latency. These atmospheric monitoring capabilities help governments, energy companies, agriculture, waste management, healthcare, retail, and transportation industries monitor methane, carbon dioxide, and airborne particulates to help them reach their sustainability goals and meet regulatory requirements."
AES,AWS re:Invent 2024 - How ICEYE uses satellite data & generative AI to speed flood response (AES305),ZZQAPGItct8,"Over the past two years, climate change increased flood risks by 23% with an estimated 1.81 billion people now facing flood risk and consequences like disease, clean water scarcity, and food insecurity. Owning the world’s largest constellation of synthetic aperture radar satellites and powered by AWS, ICEYE is building scalable and resilient solutions to provide critical insights before, during, and after natural disaster events. In this session, discover how ICEYE fuses their high-revisit satellite imagery with ground measurements and social media data and uses generative AI models on Amazon Bedrock to automate processes, allowing first responders to take action faster."
AES,AWS re:Invent 2024 - Getting better image analysis with generative AI (AES307),uOyBuoCjFe4,"Using generative AI comes with challenges, like building prompts with enough information so the AI understands what to do but doesn’t become inflexible, and making sure you’re feeding it the most current data. This is particularly true for image analysis. In this lightening talk, our generative AI experts share tips and tricks that make it easy for you to build prompts that get relevant, high-quality results so you can complete your image analysis missions faster."
AUT,AWS re:Invent 2024 - Transforming AV/ADAS development at Continental with generative AI (AUT307),kbAS9TiMMrA,"Autonomous vehicle (AV) and advanced driver-assistance systems (ADAS) development requires a data-driven process that relies on hundreds of petabytes of drive data and complex tool chains. Join this breakout session to learn how Continental and AWS are collaborating to accelerate the AV/ADAS development process in the cloud. This session outlines how AWS can help offload undifferentiated heavy lifting, such as streamlining data management and simplifying tool chain integration. It then introduces how generative AI accelerates the process of identifying and managing the 1–2% of relevant data within multi-modal datasets for model training, fine-tuning, and system validation."
AUT,AWS re:Invent 2024 - Toyota drives innovation & enhances operational efficiency with gen AI (AUT201),_NXc1MJenw4,"Toyota is in the midst of a transformative journey, harnessing the power of generative AI to drive innovation, boost productivity, and enhance operational efficiency. In this session, gain insights into Toyota's generative AI–driven initiatives that you can apply to own AI transformations. Discover how Toyota uses AI to capture and transfer critical institutional knowledge from retiring employees, reduce mean time to repair production line equipment, and decrease battery scrappage. Additionally, discover Toyota’s innovative approach to accelerating mainframe modernization using generative AI, reducing migration timelines by up to 50% while introducing new business capabilities."
AUT,AWS re:Invent 2024 - How Rivian accelerated ADAS development on AWS (AUT318),cUf7A-nWX5o,"This session covers how Rivian built an end-to-end pipeline for developing, simulating, and releasing new advanced driver-assistance system (ADAS) features using AWS cloud services and partner solutions. It explores Rivian's approach, from data ingestion to perception model training, simulation, and edge deployment, highlighting the AWS services it leveraged. Gain insights into best practices and learn about the AWS services that Rivian employed to help accelerate and scale new ADAS feature development, while optimizing data ingest, compute, storage, and simulation costs."
AUT,AWS re:Invent 2024 - Honda’s EV charging experience with Amazon Bedrock and AWS IoT Core (AUT202),o73GxyDlQVk,"Join this session to learn how Honda worked with AWS to redefine the in-vehicle EV charging experience. By combining data from its connected vehicle platform, external data sources, and layering in generative AI, Honda delivers a personalized, connected, and intelligent charging solution that caters to the evolving needs of EV owners. At the core of this experience is Honda’s use of Amazon Bedrock, providing drivers with personalized charging recommendations and route guidance by factoring in battery health data, driving patterns, and available charging stations."
AUT,AWS re:Invent 2024 - Learnings from BMW's global software development platform on AWS (AUT319),Bz6cKpUJiUw,"The BMW Group has established a global, award-winning software development platform within its automotive organization named the BMW Software Factory. After transitioning to AWS, BMW has scaled it to run over 165,000 CI/CD builds daily, with up to 5,500 instances dynamically provisioned in parallel. With 12,000+ developers, it became essential to focus on the resilience and efficient utilization of FinOps. In this session, learn about the fundamental architecture and design choices that enabled this resilient platform, and dive into the FinOps strategies BMW employed to drive cost optimizations, improve developer productivity, and accelerate its time to market."
AUT,AWS re:Invent 2024 - Using machine learning to enhance the online car-shopping experience (AUT205),hlYVX4q7XZ0,"Join this session to learn how CarGurus uses AWS machine learning services and streaming analytics to enhance the digital customer experience in the online car-shopping process. CarGurus has undertaken a journey to build its machine learning (ML) platform on AWS. Learn how CarGurus applies ML and real-time analytics to power its online marketplace, including pricing insights and personalized vehicle recommendations. Utilizing AWS services including Amazon SageMaker, CarGurus provides car buyers with accelerated vehicle search functionality, improved guidance on well-priced vehicles, relevant vehicle suggestions, and offers well-placed and well-timed promotional offers."
AUT,AWS re:Invent 2024 - How Ford unlocked real-time insights using Apache Iceberg on AWS (AUT311),bDx3SNR_Dck,"In the era of connected vehicles, it’s crucial for automakers to use real-time, data-driven insights to enhance customer experiences and drive operational efficiencies. This session explores Ford’s collaboration with AWS to develop the Event Store, a key component of Ford’s Transportation Mobility Cloud (TMC). This platform processes 4 TB of real-time data daily from over 20 million vehicles, allowing insights around OTA updates, vehicle command and control, and telemetry. Ford’s strategic adoption of AWS services facilitated a petabyte-scale data lake using Apache Iceberg, improving data management and analysis and reducing SLAs by 50% while meeting low-latency requirements."
ENU,AWS re:Invent 2024 - All-in on AWS: Transforming production operations with AWS (ENU307),2oRl6OqEy-M,"In this session, learn about bpx energy's transformation of production operations on AWS. bpx shares its journey to simplify from multicloud and go all-in on AWS, including SAP and Esri ArcGIS. Discover how bpx is preparing their environment and data to transform oil and gas production operations."
ENU,AWS re:Invent 2024 - Leveraging technology and leadership to accelerate energy innovation (ENU201),-14nNmcl58w,"As the energy sector evolves to meet the demands of a sustainable future, leveraging technology and fostering inclusive leadership has never been more critical. Currently, women make up about 22% of the workforce in the energy sector, with only 16% in senior leadership roles. Other underrepresented groups, including people of color and those from diverse cultural backgrounds, face similar barriers. This disparity highlights the pressing need for conscious leadership to bridge these gaps, drive diversity, and encourage innovative thinking across the industry."
ENU,AWS re:Invent 2024 - Accelerate control system upgrades through AWS and evergreen testing (ENU306),H4XJSbYwrSY,"In this session, GE Vernova walks through how cloud-ready architecture allows utilities flexibility when deploying control system software, from the edge to on-premises bare metal, cloud, or even hybrid (such as AWS Outposts), and avoids the limited benefits of “lifting and shifting” applications to the cloud. The traditional path of “forklift” upgrades over years need not be your path forward for grid control systems. Working together, vendors, cloud providers, and utilities can deploy a cloud-native architecture with evergreen testing, operational functionality, and security capabilities built in for control system upgrades that won't disrupt electric operations."
ENU,AWS re:Invent 2024 -Predictive maintenance and optimization of electrical submersible pumps (ENU310),YELFPCi_I-s,"In this session, explore how ExxonMobil is collaborating with Baker Hughes and AWS to optimize the performance and reliability of electrical submersible pumps (ESPs) in the Permian Basin. Learn about the technical and strategic approaches used to enhance ESP management with AWS advanced machine learning and AI capabilities. Discover how hybrid physics-based and machine learning models were deployed to predict ESP failures accurately, improving operational efficiency and reducing downtime. Learn about the challenges encountered, the innovative solutions developed, and the benefits realized, including increased production uptime and reduced maintenance costs. Join us to understand how this collaboration is driving long-term success in unconventional oil and gas operations."
ENU,AWS re:Invent 2024 - An open collaboration for HPC acceleration (ENU305),xcJsPuN-3DA,"In this session, customers learn about Energy HPC Orchestrator (EHO). EHO is an innovative framework designed to transform the execution and operation of traditional energy high performance computing (HPC) applications. It proposes an open industry platform and marketplace for operators, software providers, and academia to deliver innovative seismic processing, imaging, AI/ML, and other state-of-the-art HPC algorithms and workflows. EHO cultivates a competitive environment that encourages innovation within a cloud-native framework, focusing on scalability, fault tolerance, performance optimization, and cost efficiency. By leveraging the latest in cloud technology, EHO enhances efficiency, reliability, and flexibility of existing systems."
ENU,AWS re:Invent 2024 - bp's energy trading digital transformation on AWS (ENU308),q9K8VRR9tnc,"In this session, bp trading shares its supply and energy trading digital transformation journey on AWS: migrating and modernizing hundreds of applications; hosting business-critical trading applications; and reinventing workflows with generative AI. The session includes market risk engine modernization for daily value-at-risk (VaR) calculations using Amazon EMR Serverless; benefits realized by building cloud native applications for bp's supply and trading functions business units; and achieving cost savings, efficiency, and agility by retiring some vendor products and using cloud native alternatives."
ENU,AWS re:Invent 2024 - Achieving dynamic power grid operations with AWS (ENU101),YP-qTiuyV3o,"Reducing carbon emissions requires shifting to renewable energy, increasing electrification, and operating a more dynamic power grid. In this lightning talk, learn how customers are using AWS to perform millions of calculations on real-time grid data to execute the scenario analysis, simulations, and operational planning necessary to operate a dynamic power grid."
ENU,AWS re:Invent 2024 - Powering the future: NextEra Energy’s journey with generative AI (ENU309),9vSlR_vwe2I,"NextEra Energy, a leader in the utility and renewables sector, is harnessing the power of generative AI to enhance customer value, improve employee productivity, and optimize energy operations. This session showcases insights and experiences from NextEra Energy’s journey, highlighting key lessons learned and recommendations to help others embark on a successful AI-enabled transformation journey. Gain valuable insights into implementing large-scale generative AI solutions in the energy sector and learn how AWS can support similar transformative initiatives in your own organizations."
FSI,AWS re:Invent 2024 - Fidelity Investments: Building for mission-critical resilience (FSI318),mYKNR0UXwMc,"Ensuring uninterrupted operations is critical to maintaining customer confidence and remaining compliant with regulatory requirements. This session explores the transformation of Fidelity Investments’ trade processing platform on AWS and the critical role resiliency plays in preserving operational integrity. Discover Fidelity Investments’ approach to building and validating a robust trade flow application with AWS Fault Injection Service, Amazon EC2, and Amazon EKS. Learn how Fidelity Investments practices chaos experiments using real-world scenarios and drives adoption of chaos engineering to 50% of all applications with its “chaos buffet,” a suite of tools that helps simulate impacting events in non-production environments."
FSI,AWS re:Invent 2024 - Beyond productivity: Using generative AI to grow in financial services (FSI202),G8b8LrfXSik,"The present has caught up with the future in financial services. New generative AI capabilities have helped financial institutions automate labor-intensive tasks like extracting information from unstructured data sources, summarizing complex documents, and curating market intelligence. These investments in improving productivity have paved the way for the industry to focus on harnessing generative AI to create business value. Companies are engaging more meaningfully with their customers, identifying sales opportunities more efficiently, increasing lead conversion, and driving adoption of new products. Hear from industry leaders how they built and are running new growth-focused generative AI applications in production on AWS.#AWSreInvent  #AWSreInvent2024"
FSI,"AWS re:Invent 2024 - New tools, no limits: Pushing the envelope in financial services (FSI201)",tnKiV9GGWhA,"Learn how financial services companies are working with AWS to harness new technologies to move their businesses—and the broader industry—in bold new directions. Hear directly from industry leaders who are using AWS infrastructure and services to convert big ideas into action. These leaders are differentiating their brands by completely rethinking established industry offerings, building products that anticipate customer needs, and evolving business models to access untapped markets. Discover how cutting-edge tools and capabilities are helping financial institutions personalize the customer experience at scale, improve business decision-making, and make it easier for consumers to realize their financial goals."
FSI,AWS re:Invent 2024 - Bloomberg: Lessons learned from building and training LLMs on AWS (FSI320),kf4gkXXZs2Q,"Secure and efficient model training is essential to any organization looking to build generative AI capabilities that deliver return on investment. Bloomberg, a leader in AI/ML in financial services, shares lessons learned from building and training large language models—and, subsequently, small language models—on AWS. Find out how Bloomberg navigated challenges across the model development process, including managing massive data volumes across a large network of GPU nodes, and see how automating and templating infrastructure, data storage, and transit pathways help keep data safe and secure while rendering the training process less error-prone, helping teams quickly launch model training projects."
FSI,AWS re:Invent 2024 - JPMorganChase: Real-time fraud screening at massive scale (FSI315),p_OGzemxyBA,"JPMorganChase processes tens of thousands of payments per second across the globe. But with fraud threats continuously evolving to become more complex and detrimental, real-time screening at massive scale becomes essential. Learn how JPMorganChase built a fraud screening platform using Amazon EKS, Amazon DynamoDB, and Amazon MSK that performs thousands of fraud checks per second within hundreds of milliseconds. Explore the AI/ML models that underpin the decisioning engine and reduce manual reviews, increasing accuracy and fraud mitigation by over 75%. Dive into the architectural decisions and trade-offs that inform this mission-critical solution built natively on AWS."
