title,video_id,description
AWS re:Invent 2024 - Never a slow news day: Transforming 24/7 news operations (MAE204),3x8_0y1b_Vc,"News organizations face an increasing number of challenges including streamlining content production, coordinating efforts across distributed teams, driving audience engagement on a growing number of platforms, improving content and resource efficiency, and adopting new tools and workflows—all while covering breaking news. Learn how CBS News and Stations and CNN use AWS to overcome these challenges while providing 24/7/365 news to their viewers. Learn about the technical and transformation strategies for maximizing the value of current and archival content, accelerating workflows, effectively using ML and generative AI, and increasing viewer engagement."
AWS re:Invent 2024 - AWS unplugged: Creating music remotely with UMG (MAE205),4MUVsIKg6sA,"Historically, creating music has required the musicians to all be in the same location—but that is changing. Universal Music Group’s (UMG) Republic Records Studios, in partnership with Open Sesame, is working with AWS to provide a synchronous and bidirectional recording system for artists, producers, and songwriters to share assets and ideas securely in a cost-effective and operationally efficient manner. After you learn how it works, experience a live music performance in which a real recording artist reimagines one of their favorite songs, seamlessly collaborating with producers at the world-famous UMG Republic Records Studios in Los Angeles in real time."
"AWS re:Invent 2024 - Building a global SaaS platform from scratch, featuring Werfen (NTA310)",B5J5B9V55l4,"In this session, learn about Werfen’s AWS journey in building their digital platform to enable exceptional customer experience and better patient care through a specialized digital ecosystem that delivers advanced lab and clinical decision support. Explore how Werfen built a HIPAA-compliant landing zone on AWS and designed and deployed a multi-tenant platform using SaaS-first principles. Also learn about the technology stack components and trade-offs Werfen considered to achieve high scalability, operational excellence, security, resiliency, and data residency while building the their cloud platform on AWS."
AWS re:Invent 2024 - Generative AI–powered graph for network digital twin (TLC202),Pz2IlR3s8ss,"Orange, a leading European telco, is pioneering autonomous networks powered by AWS, harnessing digital twins and AI/ML to revolutionize operations. Their innovative solution—built on AWS services like Amazon Bedrock, Amazon Neptune, and Amazon SageMaker—unlocks advanced graph deep learning capabilities to create a robust network digital twin. In this session, learn how Orange’s groundbreaking approach enhances fault monitoring, maintenance, and root cause analysis, driving unparalleled network resilience. Discover how this deployment shapes the future of autonomous networks."
AWS re:Invent 2024 - Revolutionizing Audi's tender process with generative AI (AIM120),ZBVUv3uKWn0,"TenderToucan, Audi’s AI tool, fundamentally changes Audi’s tender process using LLMs to compare offers against requirements. It reduces burdensome work for employees and leaves them with more time for analytical tasks. This results in highly accurate evaluations that take less time than before. This session covers user-centric development, continuous optimization, and mitigating AI replacement fears. Gain insights into balancing AI automation with human judgment and practical guidance for implementing AI solutions. TenderToucan showcases gen AI’s potential in transforming business processes, boosting efficiency, accuracy, and speed, setting new standards in tender management for the automotive industry and beyond. This presentation is brought to you by Capgemini, an AWS Partner."
AWS re:Invent 2024 - How to ensure code accountability & trust in the age of generative AI (AIM275),WKMaw77TYDA,"As generative AI transforms software development, enterprises need to rethink how they build code trust. Traditionally, developers are accountable for code authorship and testing, but AI-generated code introduces new challenges. Without approved processes, using large language models (LLMs) to generate code can expose organizations to IP leakage, security risks, and lower code quality. This lightning talk explores how businesses can integrate AI safely into their software development lifecycle. Hear strategies for LLM approval, tracking, and performance monitoring. Learn how tools like Sonar can ensure transparency, maintain high quality standards, and build trust in AI-driven development workflows. This presentation is brought to you by Sonar, an AWS Partner."
"AWS re:Invent 2024 - Amazon Q Developer, Amazon Inspector & AI remediation for secure SDLC (DOP213)",D7l-XYH78MI,"Elevate your security posture with AWS offerings across the software development lifecycle (SDLC). Use Amazon Q Developer in the IDE to scan code before committing, Amazon CodeGuru in the CI/CD pipeline to block insecure deployments, and Amazon Inspector at runtime for continuous scanning. Harness the power of generative AI to automate remediation of security findings. This session demonstrates how to seamlessly integrate these services, empowering you to proactively identify and mitigate vulnerabilities throughout the SDLC, ensuring robust security from code to production."
"AWS re:Invent 2024 - EQ, Amazon leadership principles, and building self-confidence (IDE106)",vr0wL5xcH90,"Returning for the third year, this highly-rated talk helps you build rock-solid confidence to be your authentic self and avoid common pitfalls in the fast-paced tech industry. Drawing from training delivered to over 40,000 professionals at Amazon, explore how to harness Amazon leadership principles like Deliver Results, Earn Trust, and Dive Deep to achieve remarkable self-confidence and to combat imposter syndrome. Get practical techniques and a long-term plan to stay accountable, learn from failure, and create a fulfilling tech career as your true self."
AWS re:Invent 2024 - How ICE implemented a developer-focused DevSecOps workflow (SEC211),sUGHjxd_IuI,"Building applications on AWS offers flexibility and scale, but security often becomes more complex to manage using traditional AppSec methodologies. With increased use of open source, containers, infrastructure as code, and now gen AI solutions, the software risk environment has shifted rapidly, increasing friction between engineering and security. As a result, ICE implemented DevSecOps philosophies that help security to fit neatly into the SDLC. Join the Senior Director of Information Security at ICE and the Field CTO at Snyk to hear the value of implementing a workflow that empowers developers to build securely from the first line of code. This presentation is brought to you by Snyk, an AWS Partner."
AWS re:Invent 2024 - Partner  Keynote Ahead & Wiz & Turnitin | AWS Events,nHHYj2PpKn8,"Watch as Greg Pearson, VP of AWS Global Sales, talks with Tim Frank, Chief Revenue Officer of Ahead, and Yinon Costica, Co-founder and Chief Product Officer of Wiz, about how they worked together to build a security solution for Turnitin, a global company dedicated to ensuring the integrity of education. Kurby Brown Jr., Senior Director of Security and Compliance of Turnitin joins the conversation to explain how the combination of Wiz, Ahead and AWS improves organizations’ cloud security postures. And AWS Marketplace makes procurement efficient."
